,user_name,user_description,text,hashtags,source
0,"Akan Thee Doll, Esq. 💜🇳🇬⚖️","Nigerian born in America | Six Foot Shawty | Travelista ✈️ | Cannabis, Entertainment, & Intellectual Property Law.","Brett said he gon put Nike on the map! 

#LoveisBlindS4 #LoveIsBlindLIVE #LoveIsBlind","['LoveisBlindS4', 'LoveIsBlindLIVE', 'LoveIsBlind']",Twitter for iPhone
1,Woody Scott,,Nike Air Max 90 LTR Big Kids’ Shoes https://t.co/2rsxYCkIlb,,Twitter Web App
2,BreakingNewzman,"Compiler of news, sports, & interesting stuff from around the world with eye on Pittsburgh, Columbus, Detroit, Boston.
VIEWS ARE MY OWN. RTs NOT = ENDORSEMENTS","Columbus Dispatch Letters to Editor: Jim Jordan full-time job is embarrassing Ohio and retaliation

https://t.co/ScstkFwSB5",,Twitter for Android
3,Hannah Brandon,,Nike Air Max 90 LTR Big Kids’ Shoes https://t.co/7lF0eQT2ke,,Twitter Web App
4,Imma neal rigga,GTAGOD,@mackjgke Word that look like Nike n adidas had a baby real quick lol,,Twitter for iPhone
5,TheSneakerFirm,Sneaker News | Deals | Restock Info | YouTube: Thesneakerfirm,"Wmns Air Jordan 1 Low ""Light Steel Grey"" 

Buy Here: https://t.co/zi6m0TgcZ3 https://t.co/JcG6noh63p",,Hootsuite Inc.
6,conradscorner,,Check out this listing I just added to my #Poshmark closet: Adidas PYV 702001 Adidas Mesh Sz 11.5 Slip On Men. https://t.co/G0WukF2r6W #shopmycloset @poshmarkapp,['Poshmark'],Poshmark
7,Natty Boy Jay🏆🏆,Just an obnoxious Georgia fan | 2021 & 2022 National Champions #GoDawgs | 2021 World Champions #ForTheA  229 🏚,@GodSpeed_06 Facts lol,,Twitter for iPhone
8,NORTH METRO ELITE,"GA's premier indy travel basketball program- B/G teams 3rd-11th; Hoopseen; RYZE; OTR; Hoop Group; PH

IG: @nmebasketballgroup
Website:  https://t.co/XHY88oJGuu","NME 13U/7th Grade-Ford/2028
CHAMPIONS of the ""15th Annual HOOPS2DUNK Cancer Classic"" hosted every year by ATL Legend Kim Coleman @Halftime_Sportz 

✅16-6 on the year
✅Three Top-10 wins
✅Win over shoe team Nike EYBL GA Stars
✅Multiple wins over brand programs

#nmenation ! https://t.co/xTBeS0Q1m7",,Twitter Web App
9,CDMNMarket,Welcome to CDMNMarket! reseller on Mercari and EBay with over 300 5⭐️ reviews. link posted in bio for more deals 🤘🏻,Check out what I'm selling: Nike Boys Black Kyrie Flytrap IV CT5536-001 Size 1: #kidsshoes #basketball #nike 👹#kyrieytrap #shoesaddict #mercari https://t.co/IAE6yL2EyE,"['kidsshoes', 'basketball', 'nike']",Twitter for iPhone
10,Kutthroat Shlump,I'm the one yo parents said not to hang w,"I got the Midas touch💯
#atlanta #BreakingNews #explore
#f4f #Nike #MembersOnly #ga https://t.co/YvWXhoxEXa","['atlanta', 'BreakingNews', 'explore', 'f4f', 'Nike', 'MembersOnly', 'ga']",Twitter for Android
11,TheSneakerFirm,Sneaker News | Deals | Restock Info | YouTube: Thesneakerfirm,"50% OFF the Nike Air Vapormax Plus ""Coconut Milk"" 

Buy Here: https://t.co/dtdGenj6PP https://t.co/ceAIBD0j1q",,Hootsuite Inc.
12,Claudia Shaufer,"Graphic designer, athlete and xD grad student",Starbucks. Nike is my mattress that I also playing tonight.,,Claudia Shaufer
13,-,♀️ وجع النساء وجعي @020Brand,Nike https://t.co/19VI1xDYzK,,Twitter for iPhone
14,Magico.,SFA Alum | Chances make champion | 🪂 @threadedww,@AyoooNick Mannnnn only a front runner when you ain’t talked shit since before tip off imo.. but touché,,Twitter for iPhone
15,Restock4Sure,"Subscribe for Free °beta°
Push notification with profitable products 👨‍🍳","Adidas US Restock: Adidas Samba Og Shoes - Black

🇺🇸: https://t.co/BL21gqTecZ

#Sneakers https://t.co/ZRmLVINcL0",['Sneakers'],Restock4S
16,S4S - Sneakers Restock 💯 FREE Service !,🔎 1st Ultimate Sneakers Finder 🤑👟 Compare +40k products price over 200 Shops | 🗓️ Calendar / 🔗 Links,"Adidas US Restock: Adidas Samba Og Shoes - Black

🇺🇸: https://t.co/pa84Wttevi

#Sneakers https://t.co/Ra2XlhuzV7",['Sneakers'],sneaks4sure
